arrival_month,Total_spend,no_of_special_requests,arrival_date,age,Usage_frequency,Support_calls,market_segment_type,type_plan,arrival_year,booking_status
9,371,0,30,48,26,1,0,1,2024,0
10,532,1,30,19,10,8,4,0,2023,1
8,738,0,26,32,30,6,4,1,2024,0
8,629,0,18,24,23,1,4,1,2024,0
4,330,0,7,35,9,5,4,2,2024,1
10,868,0,5,44,16,1,3,0,2024,0
10,415,1,26,37,8,7,4,1,2024,0
6,286,0,17,30,16,5,3,2,2024,0
12,284,0,26,65,28,1,4,0,2024,1
4,119,0,17,60,14,6,4,1,2024,1
2,438,0,6,25,7,3,4,2,2024,1
2,760,1,7,36,26,4,4,1,2024,0
12,720,0,9,35,10,2,3,0,2023,1
11,996,0,27,34,15,5,3,2,2023,1
8,328,0,22,26,19,1,4,2,2024,0
10,636,0,7,34,4,9,4,0,2024,0
8,734,0,21,51,22,2,4,1,2024,0
11,934,1,23,46,24,4,4,0,2024,0
10,205,0,5,61,25,8,3,0,2023,1
2,470,0,19,64,7,5,2,2,2024,0
7,386,1,23,48,26,9,4,1,2024,1
3,237,1,13,19,3,5,4,1,2024,0
10,352,1,13,47,28,10,2,2,2024,1
6,471,2,27,38,30,10,4,1,2024,1
10,768,0,3,34,4,3,2,1,2024,1
8,183,2,6,43,3,7,4,1,2024,0
8,384,0,11,18,26,4,3,0,2024,1
5,228,1,9,46,25,1,4,0,2024,0
4,451,0,4,18,28,8,3,0,2024,0
5,860,1,20,54,2,6,3,2,2024,1
9,557,2,27,38,9,1,3,2,2024,1
3,344,0,20,64,27,6,3,0,2024,1
8,627,3,14,58,28,5,4,1,2024,1
3,956,1,21,62,16,6,4,2,2024,1
10,356,0,14,25,26,2,3,0,2024,1
11,605,0,6,50,29,9,4,0,2024,1
8,566,2,30,28,28,7,4,2,2024,1
12,869,2,21,50,25,4,4,0,2024,0
5,842,1,19,46,29,9,4,0,2024,1
3,279,0,15,58,13,0,4,1,2024,0
2,643,0,19,54,9,3,2,1,2024,1
6,627,0,24,65,29,2,3,0,2024,1
6,334,0,22,45,28,7,4,0,2024,0
10,654,1,20,36,21,8,4,0,2024,0
9,141,2,2,53,28,10,4,1,2023,1
10,875,1,18,23,23,1,4,2,2024,1
10,342,2,28,19,14,1,4,2,2024,1
6,408,0,19,57,12,2,4,2,2024,0
1,648,2,19,52,7,7,4,2,2024,1
1,162,0,23,65,15,3,4,1,2024,1
7,438,1,2,29,24,3,4,0,2024,1
8,563,1,31,30,5,3,4,2,2024,1
8,366,2,30,49,17,7,4,1,2024,1
10,422,0,2,31,11,4,3,2,2023,1
6,924,0,29,53,23,1,2,1,2024,1
12,883,0,18,23,14,1,3,1,2024,1
1,653,0,14,64,3,3,4,1,2024,1
1,305,1,15,36,23,3,4,0,2024,1
10,349,0,16,25,12,9,3,1,2023,0
3,947,2,20,53,4,3,4,1,2024,1
5,180,2,25,26,14,9,4,1,2024,1
4,306,0,6,41,25,6,3,2,2024,1
9,740,0,7,54,6,9,3,0,2024,1
9,429,1,2,39,29,10,4,1,2024,0
3,547,0,18,65,9,4,3,2,2024,1
6,463,0,4,61,26,5,3,1,2024,0
6,730,0,24,25,30,6,3,2,2024,1
5,799,0,31,47,5,1,2,2,2024,0
9,942,0,18,43,26,5,3,0,2023,1
8,783,1,27,20,18,3,4,0,2024,0
5,635,1,23,39,22,8,4,2,2024,1
4,484,0,12,36,11,9,4,1,2024,0
10,443,1,19,27,5,10,4,2,2024,0
12,802,0,4,28,25,9,2,1,2024,1
8,934,0,14,21,24,9,3,2,2023,1
3,627,0,30,64,13,2,4,1,2024,1
4,552,0,22,32,14,5,4,0,2024,0
9,281,0,1,49,19,7,4,1,2024,0
8,346,0,17,57,2,2,2,0,2023,0
4,529,0,20,62,22,5,3,0,2024,1
6,646,0,7,50,3,7,3,1,2024,0
8,866,0,19,64,11,4,4,0,2023,1
7,231,0,18,23,16,3,2,2,2024,1
10,477,1,14,47,4,7,3,0,2024,0
7,201,0,10,48,23,9,4,2,2024,1
2,446,1,14,41,14,1,4,1,2024,1
6,571,0,2,42,21,3,4,1,2024,1
1,105,1,4,57,10,0,4,0,2024,1
2,417,0,20,63,14,1,4,2,2024,1
4,446,0,4,28,11,4,3,0,2024,0
9,611,1,21,55,21,0,3,2,2024,0
8,107,0,10,56,20,2,4,0,2023,1
8,257,0,25,43,4,5,3,1,2024,1
8,204,3,11,20,2,0,4,1,2024,1
10,421,1,6,47,6,9,4,2,2023,1
6,122,0,15,63,10,9,3,0,2024,0
4,342,0,26,44,29,10,3,2,2024,1
10,659,2,23,18,10,9,4,1,2024,0
10,384,1,23,25,11,4,3,2,2024,0
10,319,0,5,34,4,0,3,1,2024,0
3,489,0,25,34,10,3,3,1,2024,0
8,522,0,21,44,11,8,4,2,2024,0
4,509,0,11,56,15,0,4,1,2024,0
10,860,2,24,55,27,8,4,1,2023,1
5,266,1,20,53,20,2,4,1,2024,1
6,224,0,2,19,23,1,3,0,2024,1
9,968,0,14,47,19,2,4,2,2023,0
9,123,1,7,34,24,4,4,0,2024,1
8,424,0,23,47,23,0,4,2,2024,0
9,837,0,30,38,19,10,3,2,2023,1
2,914,1,17,34,30,0,3,2,2024,1
5,427,1,12,51,8,10,4,1,2024,1
10,129,0,2,59,25,8,4,1,2024,0
10,228,0,13,31,23,1,3,2,2024,1
8,746,1,6,19,12,7,4,1,2024,1
7,680,0,1,65,8,4,4,2,2024,0
10,178,0,20,22,26,10,4,1,2024,0
3,162,2,11,65,18,7,4,2,2024,1
12,536,1,2,28,29,8,3,0,2024,1
12,257,2,5,65,20,10,4,2,2024,1
12,704,1,18,25,9,9,4,1,2024,1
7,191,1,1,33,29,0,4,1,2024,1
11,265,1,12,61,17,7,4,0,2023,1
8,806,0,8,31,5,1,4,2,2024,0
6,456,0,3,58,25,1,3,2,2024,0
5,431,1,27,50,7,3,4,0,2024,0
12,310,0,4,46,28,1,4,2,2023,1
6,863,2,8,38,17,3,4,2,2024,1
8,637,0,16,29,10,9,4,2,2024,1
6,408,1,1,41,16,2,4,0,2024,1
9,752,0,22,40,11,1,4,2,2024,0
4,584,1,23,49,8,2,3,2,2024,1
5,623,0,4,26,2,7,3,1,2024,1
2,348,1,29,39,23,8,4,1,2024,0
7,206,0,8,65,10,8,4,0,2023,0
5,234,0,1,37,19,9,3,0,2024,1
7,592,1,4,46,15,6,4,0,2024,1
10,242,1,4,37,1,3,4,1,2024,0
2,904,1,12,40,30,8,4,2,2024,1
4,586,0,7,59,7,6,3,2,2024,1
6,977,0,20,40,23,4,0,2,2024,1
9,812,1,28,19,26,2,1,0,2024,1
4,830,0,30,33,14,10,4,0,2024,0
8,833,0,13,59,13,6,4,0,2024,0
6,133,2,11,43,3,0,4,2,2024,1
6,850,0,14,37,30,3,3,1,2024,1
10,749,2,12,23,29,4,4,1,2023,1
8,247,0,14,27,9,2,3,2,2023,1
12,453,0,30,58,5,5,3,2,2023,1
6,652,0,29,24,15,10,4,0,2024,0
8,282,1,20,23,29,5,4,1,2024,1
8,624,1,17,51,21,3,4,0,2023,1
11,222,0,29,62,21,2,3,1,2024,1
4,217,0,19,46,2,7,4,2,2024,0
7,747,1,29,44,23,8,4,0,2024,1
6,411,2,17,62,3,3,4,0,2024,1
12,758,0,27,19,28,2,3,2,2023,1
4,235,0,6,30,24,4,3,0,2024,0
8,167,0,15,21,1,10,3,1,2023,1
3,850,0,10,40,25,0,4,0,2024,0
10,470,0,2,39,11,2,3,1,2023,0
8,589,0,8,49,10,2,3,2,2024,1
11,749,3,26,54,22,10,4,1,2023,1
6,410,0,15,65,23,5,3,0,2024,0
10,554,0,23,24,5,6,4,0,2024,0
8,741,0,1,53,28,10,4,0,2024,1
7,333,0,11,58,4,1,4,1,2024,1
9,935,1,12,38,16,9,4,1,2024,1
4,818,1,3,27,14,3,4,0,2024,1
2,769,0,19,29,18,6,2,1,2024,1
6,721,0,4,36,20,4,4,1,2024,0
9,587,0,8,61,15,0,3,1,2024,0
9,132,0,16,59,23,3,4,1,2024,0
10,202,2,4,48,18,4,4,0,2024,1
8,836,0,9,56,24,4,4,1,2023,1
12,909,0,30,22,13,10,3,0,2023,1
10,183,0,30,24,26,7,4,2,2024,0
9,747,0,14,40,16,3,3,1,2023,1
10,426,0,10,25,29,8,3,1,2024,0
7,686,0,11,38,29,10,3,2,2023,1
7,567,2,13,63,18,6,4,1,2023,0
10,927,1,2,46,12,0,4,2,2024,1
8,367,2,15,18,25,7,4,2,2024,0
6,480,0,28,43,17,3,4,0,2024,0
9,296,0,30,56,23,8,4,1,2024,0
10,935,3,3,25,14,2,4,0,2024,1
10,724,0,10,56,13,2,4,0,2024,0
6,877,1,6,52,24,1,3,1,2024,0
5,479,1,22,26,21,8,4,2,2024,1
5,814,1,10,23,23,2,4,1,2024,1
4,597,0,6,37,30,4,3,0,2024,0
7,428,0,8,42,9,0,4,2,2024,0
11,519,0,3,53,2,2,3,2,2024,0
7,976,0,2,20,10,6,4,1,2024,0
8,553,1,8,37,17,10,4,0,2024,1
4,555,0,26,35,13,6,4,0,2024,0
8,656,0,23,56,1,0,4,1,2024,0
6,729,1,10,54,25,6,3,2,2024,1
3,636,0,19,28,11,7,3,1,2024,1
9,482,0,22,24,24,5,3,1,2024,0
7,806,1,27,42,3,4,3,1,2024,1
2,268,1,7,58,21,1,3,0,2024,1
9,560,0,17,25,27,10,4,2,2023,1
10,817,0,16,58,17,0,4,2,2023,0
9,923,2,28,23,1,6,4,0,2024,1
4,715,1,8,63,8,4,4,1,2024,1
11,948,0,1,29,27,5,3,2,2024,0
5,264,0,29,26,5,4,2,1,2024,1
9,310,0,26,20,27,0,3,1,2024,0
4,195,0,6,35,19,4,4,1,2024,1
5,950,0,13,50,28,1,4,2,2024,0
3,255,2,17,65,25,0,4,1,2024,1
4,129,0,17,48,15,8,4,2,2024,0
6,135,0,2,18,25,6,3,2,2024,1
9,200,0,7,23,20,8,3,2,2023,1
6,913,0,2,61,25,3,3,1,2024,1
5,285,0,24,46,25,5,2,2,2024,1
12,577,1,28,41,28,5,4,1,2024,1
2,942,3,24,34,30,5,4,2,2024,1
12,433,3,21,23,11,6,4,0,2024,1
10,195,0,9,49,29,10,3,1,2023,1
9,644,1,14,20,19,0,4,0,2024,0
3,933,0,18,43,7,5,4,0,2024,1
7,302,1,25,38,25,6,4,0,2024,1
8,429,0,18,25,22,5,4,0,2024,0
7,880,0,25,25,21,5,4,1,2024,1
8,971,0,8,38,16,10,3,1,2024,0
9,548,2,11,54,23,5,4,1,2023,1
5,738,0,18,53,30,1,2,1,2024,0
9,808,0,22,51,9,8,4,0,2024,0
11,215,1,5,54,19,5,4,1,2023,1
6,839,0,27,35,9,8,4,0,2024,0
8,440,0,17,30,3,0,3,2,2024,1
7,390,0,13,65,13,8,3,1,2024,0
9,209,2,22,42,7,0,4,0,2024,1
10,466,0,1,49,27,9,1,0,2023,1
7,856,1,16,54,30,3,3,0,2024,1
10,641,0,2,41,2,7,3,0,2023,1
5,118,0,20,51,28,5,3,2,2024,0
10,603,0,28,49,4,0,3,2,2023,1
10,277,0,27,45,5,8,4,1,2024,0
6,924,1,16,26,22,9,4,0,2024,0
9,854,0,21,58,17,4,3,0,2023,1
4,711,0,24,58,7,7,4,1,2024,1
12,560,2,12,29,18,2,1,2,2024,1
6,771,0,20,60,23,8,3,2,2024,0
10,223,1,26,51,19,1,3,2,2023,1
5,422,1,9,30,4,7,4,1,2024,1
7,921,2,9,60,17,2,4,2,2024,1
4,830,0,15,56,16,3,4,1,2024,1
9,827,1,19,26,7,6,4,1,2024,1
2,677,0,2,35,6,1,3,2,2024,1
11,136,0,28,35,4,4,4,1,2024,1
3,518,0,8,22,29,7,2,2,2024,1
7,394,1,16,48,20,6,4,2,2024,1
6,989,1,28,37,5,6,4,0,2024,1
3,498,0,17,33,16,0,3,2,2024,0
11,587,0,11,30,8,5,3,0,2024,1
2,418,0,12,39,8,4,4,1,2024,1
4,675,0,4,47,22,5,4,2,2024,1
7,583,2,19,37,2,10,4,0,2024,1
6,795,0,26,63,25,6,4,1,2024,0
12,726,0,27,44,13,3,3,2,2024,1
1,763,1,21,49,10,2,4,1,2024,1
7,251,0,6,52,4,4,3,1,2024,0
5,993,0,11,41,6,0,4,0,2024,0
4,415,1,4,40,2,5,4,0,2024,1
11,316,1,23,44,6,8,3,2,2024,1
10,194,0,27,30,6,4,4,1,2024,0
7,172,0,24,59,30,1,4,1,2024,1
10,116,1,28,43,14,4,3,2,2024,1
9,686,0,26,49,12,8,4,1,2024,0
3,356,0,25,24,22,9,3,1,2024,1
10,398,1,27,33,30,7,2,2,2023,1
6,867,0,30,39,4,9,4,2,2024,0
5,286,0,6,60,19,7,4,2,2024,1
11,150,1,5,38,3,5,4,2,2024,1
2,383,0,28,58,20,2,3,0,2024,1
3,916,1,17,65,1,8,4,0,2024,1
3,807,0,9,53,28,1,4,1,2024,1
4,982,1,3,18,26,2,4,0,2024,1
11,783,3,2,35,7,10,4,2,2024,1
5,639,1,12,20,9,3,4,1,2024,1
8,216,0,14,41,2,0,3,2,2023,1
11,377,1,6,63,30,9,3,0,2024,1
4,591,1,25,58,7,3,4,0,2024,0
2,159,0,18,40,27,6,4,2,2024,1
1,663,0,27,57,30,8,4,0,2024,1
12,988,0,2,55,15,8,4,2,2024,0
10,618,2,1,22,6,6,4,2,2023,1
3,958,0,24,25,17,2,3,1,2024,1
10,647,0,30,50,7,0,4,1,2023,0
12,214,2,10,52,15,0,4,2,2024,1
3,281,0,17,20,4,3,4,1,2024,0
1,213,0,3,30,5,3,3,2,2024,1
7,894,0,23,34,23,3,4,0,2024,1
10,348,2,7,24,23,5,4,0,2024,1
9,391,0,8,50,9,2,3,2,2024,0
9,776,2,15,52,7,10,4,2,2024,1
3,656,0,22,31,14,0,4,0,2024,1
3,306,0,8,65,16,0,4,0,2024,0
4,640,1,18,53,5,3,4,1,2024,1
8,919,3,30,51,15,4,4,2,2024,1
5,687,0,13,20,1,3,3,2,2024,0
3,483,0,30,37,28,0,4,0,2024,1
6,969,1,18,30,9,7,4,0,2024,1
4,105,1,14,65,24,10,4,0,2024,1
7,575,1,26,27,16,6,4,2,2024,0
12,140,0,2,61,4,3,3,1,2024,1
11,403,1,6,39,3,1,4,2,2024,1
11,530,1,20,23,9,6,4,0,2024,1
12,820,0,11,62,28,4,3,0,2023,1
1,523,0,10,53,28,2,4,1,2024,1
4,763,0,6,19,6,1,4,1,2024,1
1,373,0,7,40,20,6,4,0,2024,1
7,688,0,23,36,17,4,4,2,2024,1
4,954,1,27,48,6,3,4,1,2024,1
3,180,0,7,52,29,9,4,0,2024,0
6,113,1,20,27,6,6,2,1,2024,1
7,870,1,9,63,13,8,4,2,2024,1
11,563,0,1,40,30,7,4,2,2024,0
10,397,2,3,62,29,6,4,1,2024,1
3,700,0,16,26,11,2,0,1,2024,1
5,915,0,15,61,3,6,2,2,2024,1
5,487,1,18,40,18,7,4,1,2024,1
8,323,2,9,59,2,7,4,1,2024,0
6,633,0,20,34,20,5,4,1,2024,0
10,559,0,16,50,5,0,3,0,2023,0
4,451,0,2,62,12,8,4,0,2024,0
4,398,1,9,56,15,8,4,0,2024,0
7,423,1,5,51,24,6,4,2,2024,0
9,739,0,16,20,23,10,4,1,2023,1
10,551,1,8,24,19,7,4,0,2024,1
10,585,1,8,60,23,0,4,1,2023,1
3,414,0,29,36,2,6,2,0,2024,1
12,914,1,9,29,10,8,3,2,2024,1
3,998,1,25,53,22,6,3,0,2024,1
11,639,1,19,55,13,1,4,0,2023,1
4,900,0,28,44,29,3,4,2,2024,0
8,605,0,29,39,26,9,3,1,2023,1
10,949,0,21,29,30,5,4,0,2024,1
4,587,1,4,50,3,1,4,2,2024,1
8,392,2,28,32,9,10,4,1,2024,0
4,189,2,3,54,15,7,4,2,2024,1
10,829,1,11,24,21,2,3,2,2024,0
2,335,1,14,41,2,8,4,1,2024,1
10,446,0,3,30,9,5,2,2,2024,1
10,854,0,12,36,24,8,4,2,2024,0
11,970,0,2,25,2,4,0,1,2024,1
9,773,1,21,61,25,5,4,2,2023,1
2,228,0,19,42,4,6,2,0,2024,1
7,699,1,14,19,11,8,3,1,2024,1
10,302,0,8,54,12,10,3,0,2023,1
4,966,0,7,20,7,8,3,2,2024,1
9,525,2,29,55,26,0,4,0,2024,0
3,302,0,18,40,17,6,4,1,2024,1
7,989,2,6,60,11,5,4,0,2024,1
9,724,1,13,65,15,9,3,1,2024,0
