,arrival_month,Total_spend,no_of_special_requests,arrival_date,age,Usage_frequency,Support_calls,market_segment_type,type_plan,arrival_year,booking_status
99,12,912,2,3,54,28,6,4,2,2023,1
100,12,713,2,6,48,1,8,4,2,2024,0
101,8,233,1,4,29,4,7,3,2,2024,1
102,10,979,1,30,60,17,7,4,2,2024,1
103,8,765,2,6,44,30,7,4,1,2023,0
104,9,923,0,22,48,28,8,4,0,2024,0
105,6,618,0,3,42,27,2,3,1,2024,1
106,6,306,0,14,62,15,1,3,1,2024,1
107,2,326,0,17,54,3,8,3,0,2024,1
108,6,148,0,26,21,13,10,3,2,2024,1
109,6,810,2,28,46,18,10,4,2,2024,1
110,5,871,0,19,28,25,10,4,1,2024,0
111,2,305,0,12,58,6,7,4,0,2024,0
112,3,847,0,25,51,17,0,4,2,2024,0
113,5,394,1,8,21,8,6,4,1,2024,1
114,8,979,1,6,60,27,2,4,1,2024,1
115,8,877,1,27,53,13,2,4,0,2023,0
116,9,811,0,2,62,5,2,3,1,2024,1
117,2,921,2,7,30,16,7,4,1,2024,1
118,2,380,0,15,22,6,2,4,1,2024,1
119,12,266,0,5,49,6,6,4,0,2023,1
120,11,940,0,7,39,27,3,3,1,2024,0
121,8,896,0,8,59,19,1,2,0,2024,1
122,9,370,3,12,58,22,8,4,0,2023,1
123,4,966,1,17,35,30,3,4,2,2024,1
124,8,547,1,18,53,13,6,3,0,2024,0
125,11,171,1,30,48,9,4,4,2,2023,1
126,3,664,0,8,53,3,7,4,0,2024,1
127,4,103,0,27,44,23,5,4,2,2024,0
128,4,682,0,20,31,21,0,3,1,2024,1
129,10,608,0,16,54,14,2,4,0,2023,1
130,10,787,0,16,27,18,5,3,0,2023,1
131,9,818,0,30,19,3,10,2,0,2023,1
132,9,510,1,29,47,18,0,3,0,2024,1
133,6,639,0,2,62,6,3,3,0,2024,1
134,7,491,0,17,28,19,2,3,2,2023,0
135,10,441,2,17,51,16,3,4,0,2024,1
136,10,922,0,30,55,3,0,4,1,2024,0
137,8,549,2,15,62,14,6,4,2,2023,0
138,7,723,0,6,36,21,8,4,2,2024,1
139,9,705,1,11,63,25,2,4,0,2024,1
140,2,747,0,28,53,8,6,2,1,2024,1
141,12,748,0,1,64,9,6,4,2,2024,1
142,8,929,1,10,40,1,9,4,2,2024,1
143,9,992,0,17,34,28,7,4,0,2023,1
144,12,269,0,14,25,24,10,4,0,2024,1
145,11,652,0,15,63,30,3,4,1,2023,1
146,2,107,0,19,50,29,8,2,2,2024,1
147,4,440,1,30,50,14,6,4,1,2024,1
148,3,704,1,28,34,30,5,4,1,2024,0
149,9,562,1,3,44,21,1,4,2,2024,0
150,10,872,1,29,36,20,1,4,1,2024,1
151,9,562,1,22,43,9,9,4,2,2024,0
152,8,104,1,21,57,21,4,3,1,2024,1
153,9,263,1,23,29,2,5,4,2,2024,1
154,11,266,0,14,60,17,10,3,0,2024,1
155,9,586,0,7,53,30,7,3,1,2023,1
156,2,198,0,7,34,2,1,3,1,2024,1
157,1,888,1,31,41,3,2,4,0,2024,1
158,6,466,0,6,50,7,10,3,2,2024,1
159,10,604,1,23,31,20,2,4,2,2024,0
160,9,225,2,30,61,21,4,4,0,2024,0
161,11,432,0,3,39,7,0,4,2,2024,0
162,3,253,0,2,51,21,4,3,2,2024,1
163,10,759,0,5,43,4,7,3,1,2023,1
164,8,266,3,1,31,19,6,4,1,2024,1
165,8,591,0,16,21,24,0,4,1,2024,0
166,7,249,1,7,50,30,3,1,0,2023,1
167,10,415,0,16,24,9,0,4,0,2024,0
168,4,575,1,8,62,10,10,4,1,2024,1
169,8,768,0,31,49,2,2,4,1,2024,0
170,10,872,1,28,60,6,0,4,0,2024,1
171,9,301,1,1,19,16,4,3,0,2024,1
172,12,374,0,24,46,7,3,3,2,2023,1
173,3,208,0,27,32,21,10,3,0,2024,1
174,3,670,1,16,28,26,3,4,1,2024,1
175,8,703,1,13,40,20,7,4,1,2024,1
176,11,315,1,25,23,8,9,4,2,2023,1
177,1,205,0,2,59,27,0,3,0,2024,1
178,1,964,0,25,47,16,4,2,0,2024,1
179,4,772,0,29,29,23,4,4,1,2024,0
180,2,266,0,17,62,5,6,4,2,2024,1
181,8,176,0,2,29,14,5,4,1,2024,1
182,5,383,2,22,20,17,10,4,2,2024,1
183,5,644,1,4,32,13,0,3,2,2024,1
184,5,159,0,9,33,24,5,4,1,2024,1
185,8,250,0,23,26,28,8,4,0,2023,1
186,12,619,0,2,50,28,1,2,2,2024,1
187,5,163,0,11,23,16,8,4,1,2024,0
188,10,563,2,27,55,6,5,4,0,2024,1
189,11,355,2,14,39,1,8,4,1,2024,0
190,11,547,0,13,41,13,1,3,0,2023,1
191,5,145,2,15,57,16,3,4,1,2024,1
192,12,648,1,14,26,25,6,4,1,2024,1
193,10,896,1,4,36,22,8,4,2,2024,1
194,9,354,0,20,18,29,8,3,1,2023,1
195,6,152,0,1,29,19,6,4,1,2024,0
196,7,551,1,3,36,23,2,4,0,2024,1
197,6,981,0,15,49,4,3,3,2,2024,0
198,8,830,2,9,49,20,9,4,1,2024,0
199,5,191,0,23,24,29,9,2,0,2024,1
200,6,437,2,13,35,3,7,4,2,2024,1
201,7,146,1,27,53,21,7,4,1,2024,0
202,9,254,1,19,46,29,5,4,2,2024,0
203,3,451,0,22,43,1,8,4,1,2024,1
204,12,569,0,18,29,20,1,3,0,2024,1
205,2,951,0,6,22,6,2,2,0,2024,1
206,1,137,1,20,34,27,1,4,1,2024,1
207,8,911,0,3,34,19,1,4,1,2024,0
208,12,554,2,8,34,11,7,4,2,2024,1
209,6,748,0,15,22,17,1,4,1,2024,0
210,3,452,0,10,50,25,8,4,0,2024,0
211,10,463,2,23,52,28,9,4,2,2023,1
212,9,177,0,18,47,12,9,4,0,2024,1
213,9,203,0,18,64,12,1,3,1,2023,1
214,8,665,2,8,30,30,4,4,2,2024,1
215,6,287,1,15,40,22,7,3,2,2024,0
216,11,441,0,3,48,19,4,4,2,2024,0
217,9,598,0,30,19,25,0,3,1,2024,0
218,10,887,1,3,51,30,6,4,0,2024,1
219,3,528,1,11,29,10,9,4,0,2024,1
220,7,471,0,3,45,12,1,4,1,2024,0
221,5,565,0,6,36,26,8,3,2,2024,1
222,4,553,1,1,65,19,4,4,0,2024,1
223,8,966,0,24,22,28,5,4,1,2024,0
224,8,642,1,12,22,4,5,4,0,2024,0
225,6,957,0,7,53,22,10,3,2,2024,0
226,2,383,1,21,20,5,1,4,1,2024,1
227,4,328,1,25,48,26,5,4,1,2024,1
228,4,753,1,6,52,19,7,4,1,2024,1
229,5,596,1,12,56,5,7,4,2,2024,1
230,8,438,1,11,56,11,3,4,2,2024,0
231,1,262,0,16,58,5,5,4,2,2024,1
232,8,161,0,15,52,25,10,3,0,2023,0
233,3,379,0,3,18,25,7,4,0,2024,0
234,5,735,0,1,61,29,5,4,0,2024,0
235,6,657,1,17,47,2,10,4,1,2024,1
236,10,120,0,5,23,8,3,3,0,2024,0
237,10,776,1,1,53,13,1,4,0,2023,1
238,4,194,0,24,29,2,8,3,1,2024,0
239,3,819,0,2,63,16,1,4,0,2024,0
240,12,887,0,28,34,19,4,4,0,2023,1
241,6,404,0,3,38,7,10,3,0,2024,0
242,12,195,1,10,43,6,2,4,2,2024,1
243,7,975,1,7,54,22,9,4,1,2024,1
244,9,371,0,30,48,26,1,0,1,2024,0
245,10,532,1,30,19,10,8,4,0,2023,1
246,8,738,0,26,32,30,6,4,1,2024,0
247,8,629,0,18,24,23,1,4,1,2024,0
248,4,330,0,7,35,9,5,4,2,2024,1
249,10,868,0,5,44,16,1,3,0,2024,0
250,10,415,1,26,37,8,7,4,1,2024,0
251,6,286,0,17,30,16,5,3,2,2024,0
252,12,284,0,26,65,28,1,4,0,2024,1
253,4,119,0,17,60,14,6,4,1,2024,1
254,2,438,0,6,25,7,3,4,2,2024,1
255,2,760,1,7,36,26,4,4,1,2024,0
256,12,720,0,9,35,10,2,3,0,2023,1
257,11,996,0,27,34,15,5,3,2,2023,1
258,8,328,0,22,26,19,1,4,2,2024,0
259,10,636,0,7,34,4,9,4,0,2024,0
260,8,734,0,21,51,22,2,4,1,2024,0
261,11,934,1,23,46,24,4,4,0,2024,0
262,10,205,0,5,61,25,8,3,0,2023,1
263,2,470,0,19,64,7,5,2,2,2024,0
264,7,386,1,23,48,26,9,4,1,2024,1
265,3,237,1,13,19,3,5,4,1,2024,0
266,10,352,1,13,47,28,10,2,2,2024,1
267,6,471,2,27,38,30,10,4,1,2024,1
268,10,768,0,3,34,4,3,2,1,2024,1
269,8,183,2,6,43,3,7,4,1,2024,0
270,8,384,0,11,18,26,4,3,0,2024,1
271,5,228,1,9,46,25,1,4,0,2024,0
272,4,451,0,4,18,28,8,3,0,2024,0
273,5,860,1,20,54,2,6,3,2,2024,1
274,9,557,2,27,38,9,1,3,2,2024,1
275,3,344,0,20,64,27,6,3,0,2024,1
276,8,627,3,14,58,28,5,4,1,2024,1
277,3,956,1,21,62,16,6,4,2,2024,1
278,10,356,0,14,25,26,2,3,0,2024,1
279,11,605,0,6,50,29,9,4,0,2024,1
280,8,566,2,30,28,28,7,4,2,2024,1
281,12,869,2,21,50,25,4,4,0,2024,0
282,5,842,1,19,46,29,9,4,0,2024,1
283,3,279,0,15,58,13,0,4,1,2024,0
284,2,643,0,19,54,9,3,2,1,2024,1
285,6,627,0,24,65,29,2,3,0,2024,1
286,6,334,0,22,45,28,7,4,0,2024,0
287,10,654,1,20,36,21,8,4,0,2024,0
288,9,141,2,2,53,28,10,4,1,2023,1
289,10,875,1,18,23,23,1,4,2,2024,1
290,10,342,2,28,19,14,1,4,2,2024,1
291,6,408,0,19,57,12,2,4,2,2024,0
292,1,648,2,19,52,7,7,4,2,2024,1
293,1,162,0,23,65,15,3,4,1,2024,1
294,7,438,1,2,29,24,3,4,0,2024,1
295,8,563,1,31,30,5,3,4,2,2024,1
296,8,366,2,30,49,17,7,4,1,2024,1
297,10,422,0,2,31,11,4,3,2,2023,1
298,6,924,0,29,53,23,1,2,1,2024,1
299,12,883,0,18,23,14,1,3,1,2024,1
300,1,653,0,14,64,3,3,4,1,2024,1
301,1,305,1,15,36,23,3,4,0,2024,1
302,10,349,0,16,25,12,9,3,1,2023,0
303,3,947,2,20,53,4,3,4,1,2024,1
304,5,180,2,25,26,14,9,4,1,2024,1
305,4,306,0,6,41,25,6,3,2,2024,1
306,9,740,0,7,54,6,9,3,0,2024,1
307,9,429,1,2,39,29,10,4,1,2024,0
308,3,547,0,18,65,9,4,3,2,2024,1
309,6,463,0,4,61,26,5,3,1,2024,0
310,6,730,0,24,25,30,6,3,2,2024,1
311,5,799,0,31,47,5,1,2,2,2024,0
312,9,942,0,18,43,26,5,3,0,2023,1
313,8,783,1,27,20,18,3,4,0,2024,0
314,5,635,1,23,39,22,8,4,2,2024,1
315,4,484,0,12,36,11,9,4,1,2024,0
316,10,443,1,19,27,5,10,4,2,2024,0
317,12,802,0,4,28,25,9,2,1,2024,1
318,8,934,0,14,21,24,9,3,2,2023,1
319,3,627,0,30,64,13,2,4,1,2024,1
320,4,552,0,22,32,14,5,4,0,2024,0
321,9,281,0,1,49,19,7,4,1,2024,0
322,8,346,0,17,57,2,2,2,0,2023,0
323,4,529,0,20,62,22,5,3,0,2024,1
324,6,646,0,7,50,3,7,3,1,2024,0
325,8,866,0,19,64,11,4,4,0,2023,1
326,7,231,0,18,23,16,3,2,2,2024,1
327,10,477,1,14,47,4,7,3,0,2024,0
328,7,201,0,10,48,23,9,4,2,2024,1
329,2,446,1,14,41,14,1,4,1,2024,1
330,6,571,0,2,42,21,3,4,1,2024,1
331,1,105,1,4,57,10,0,4,0,2024,1
332,2,417,0,20,63,14,1,4,2,2024,1
333,4,446,0,4,28,11,4,3,0,2024,0
334,9,611,1,21,55,21,0,3,2,2024,0
335,8,107,0,10,56,20,2,4,0,2023,1
336,8,257,0,25,43,4,5,3,1,2024,1
337,8,204,3,11,20,2,0,4,1,2024,1
338,10,421,1,6,47,6,9,4,2,2023,1
339,6,122,0,15,63,10,9,3,0,2024,0
340,4,342,0,26,44,29,10,3,2,2024,1
341,10,659,2,23,18,10,9,4,1,2024,0
342,10,384,1,23,25,11,4,3,2,2024,0
343,10,319,0,5,34,4,0,3,1,2024,0
344,3,489,0,25,34,10,3,3,1,2024,0
345,8,522,0,21,44,11,8,4,2,2024,0
346,4,509,0,11,56,15,0,4,1,2024,0
347,10,860,2,24,55,27,8,4,1,2023,1
348,5,266,1,20,53,20,2,4,1,2024,1
349,6,224,0,2,19,23,1,3,0,2024,1
350,9,968,0,14,47,19,2,4,2,2023,0
351,9,123,1,7,34,24,4,4,0,2024,1
352,8,424,0,23,47,23,0,4,2,2024,0
353,9,837,0,30,38,19,10,3,2,2023,1
354,2,914,1,17,34,30,0,3,2,2024,1
355,5,427,1,12,51,8,10,4,1,2024,1
356,10,129,0,2,59,25,8,4,1,2024,0
357,10,228,0,13,31,23,1,3,2,2024,1
358,8,746,1,6,19,12,7,4,1,2024,1
359,7,680,0,1,65,8,4,4,2,2024,0
360,10,178,0,20,22,26,10,4,1,2024,0
361,3,162,2,11,65,18,7,4,2,2024,1
362,12,536,1,2,28,29,8,3,0,2024,1
363,12,257,2,5,65,20,10,4,2,2024,1
364,12,704,1,18,25,9,9,4,1,2024,1
365,7,191,1,1,33,29,0,4,1,2024,1
366,11,265,1,12,61,17,7,4,0,2023,1
367,8,806,0,8,31,5,1,4,2,2024,0
368,6,456,0,3,58,25,1,3,2,2024,0
369,5,431,1,27,50,7,3,4,0,2024,0
370,12,310,0,4,46,28,1,4,2,2023,1
371,6,863,2,8,38,17,3,4,2,2024,1
372,8,637,0,16,29,10,9,4,2,2024,1
373,6,408,1,1,41,16,2,4,0,2024,1
374,9,752,0,22,40,11,1,4,2,2024,0
375,4,584,1,23,49,8,2,3,2,2024,1
376,5,623,0,4,26,2,7,3,1,2024,1
377,2,348,1,29,39,23,8,4,1,2024,0
378,7,206,0,8,65,10,8,4,0,2023,0
379,5,234,0,1,37,19,9,3,0,2024,1
380,7,592,1,4,46,15,6,4,0,2024,1
381,10,242,1,4,37,1,3,4,1,2024,0
382,2,904,1,12,40,30,8,4,2,2024,1
383,4,586,0,7,59,7,6,3,2,2024,1
384,6,977,0,20,40,23,4,0,2,2024,1
385,9,812,1,28,19,26,2,1,0,2024,1
386,4,830,0,30,33,14,10,4,0,2024,0
387,8,833,0,13,59,13,6,4,0,2024,0
388,6,133,2,11,43,3,0,4,2,2024,1
389,6,850,0,14,37,30,3,3,1,2024,1
390,10,749,2,12,23,29,4,4,1,2023,1
391,8,247,0,14,27,9,2,3,2,2023,1
392,12,453,0,30,58,5,5,3,2,2023,1
393,6,652,0,29,24,15,10,4,0,2024,0
394,8,282,1,20,23,29,5,4,1,2024,1
395,8,624,1,17,51,21,3,4,0,2023,1
396,11,222,0,29,62,21,2,3,1,2024,1
397,4,217,0,19,46,2,7,4,2,2024,0
398,7,747,1,29,44,23,8,4,0,2024,1
399,6,411,2,17,62,3,3,4,0,2024,1
400,12,758,0,27,19,28,2,3,2,2023,1
401,4,235,0,6,30,24,4,3,0,2024,0
402,8,167,0,15,21,1,10,3,1,2023,1
403,3,850,0,10,40,25,0,4,0,2024,0
404,10,470,0,2,39,11,2,3,1,2023,0
405,8,589,0,8,49,10,2,3,2,2024,1
406,11,749,3,26,54,22,10,4,1,2023,1
407,6,410,0,15,65,23,5,3,0,2024,0
408,10,554,0,23,24,5,6,4,0,2024,0
409,8,741,0,1,53,28,10,4,0,2024,1
410,7,333,0,11,58,4,1,4,1,2024,1
411,9,935,1,12,38,16,9,4,1,2024,1
412,4,818,1,3,27,14,3,4,0,2024,1
413,2,769,0,19,29,18,6,2,1,2024,1
414,6,721,0,4,36,20,4,4,1,2024,0
415,9,587,0,8,61,15,0,3,1,2024,0
416,9,132,0,16,59,23,3,4,1,2024,0
417,10,202,2,4,48,18,4,4,0,2024,1
418,8,836,0,9,56,24,4,4,1,2023,1
419,12,909,0,30,22,13,10,3,0,2023,1
420,10,183,0,30,24,26,7,4,2,2024,0
421,9,747,0,14,40,16,3,3,1,2023,1
422,10,426,0,10,25,29,8,3,1,2024,0
423,7,686,0,11,38,29,10,3,2,2023,1
424,7,567,2,13,63,18,6,4,1,2023,0
425,10,927,1,2,46,12,0,4,2,2024,1
426,8,367,2,15,18,25,7,4,2,2024,0
427,6,480,0,28,43,17,3,4,0,2024,0
428,9,296,0,30,56,23,8,4,1,2024,0
429,10,935,3,3,25,14,2,4,0,2024,1
430,10,724,0,10,56,13,2,4,0,2024,0
431,6,877,1,6,52,24,1,3,1,2024,0
432,5,479,1,22,26,21,8,4,2,2024,1
433,5,814,1,10,23,23,2,4,1,2024,1
434,4,597,0,6,37,30,4,3,0,2024,0
435,7,428,0,8,42,9,0,4,2,2024,0
436,11,519,0,3,53,2,2,3,2,2024,0
437,7,976,0,2,20,10,6,4,1,2024,0
438,8,553,1,8,37,17,10,4,0,2024,1
439,4,555,0,26,35,13,6,4,0,2024,0
440,8,656,0,23,56,1,0,4,1,2024,0
441,6,729,1,10,54,25,6,3,2,2024,1
442,3,636,0,19,28,11,7,3,1,2024,1
443,9,482,0,22,24,24,5,3,1,2024,0
444,7,806,1,27,42,3,4,3,1,2024,1
445,2,268,1,7,58,21,1,3,0,2024,1
446,9,560,0,17,25,27,10,4,2,2023,1
447,10,817,0,16,58,17,0,4,2,2023,0
448,9,923,2,28,23,1,6,4,0,2024,1
449,4,715,1,8,63,8,4,4,1,2024,1
450,11,948,0,1,29,27,5,3,2,2024,0
451,5,264,0,29,26,5,4,2,1,2024,1
452,9,310,0,26,20,27,0,3,1,2024,0
453,4,195,0,6,35,19,4,4,1,2024,1
454,5,950,0,13,50,28,1,4,2,2024,0
455,3,255,2,17,65,25,0,4,1,2024,1
456,4,129,0,17,48,15,8,4,2,2024,0
457,6,135,0,2,18,25,6,3,2,2024,1
458,9,200,0,7,23,20,8,3,2,2023,1
459,6,913,0,2,61,25,3,3,1,2024,1
460,5,285,0,24,46,25,5,2,2,2024,1
461,12,577,1,28,41,28,5,4,1,2024,1
462,2,942,3,24,34,30,5,4,2,2024,1
463,12,433,3,21,23,11,6,4,0,2024,1
464,10,195,0,9,49,29,10,3,1,2023,1
465,9,644,1,14,20,19,0,4,0,2024,0
466,3,933,0,18,43,7,5,4,0,2024,1
467,7,302,1,25,38,25,6,4,0,2024,1
468,8,429,0,18,25,22,5,4,0,2024,0
469,7,880,0,25,25,21,5,4,1,2024,1
470,8,971,0,8,38,16,10,3,1,2024,0
471,9,548,2,11,54,23,5,4,1,2023,1
472,5,738,0,18,53,30,1,2,1,2024,0
473,9,808,0,22,51,9,8,4,0,2024,0
474,11,215,1,5,54,19,5,4,1,2023,1
475,6,839,0,27,35,9,8,4,0,2024,0
476,8,440,0,17,30,3,0,3,2,2024,1
477,7,390,0,13,65,13,8,3,1,2024,0
478,9,209,2,22,42,7,0,4,0,2024,1
479,10,466,0,1,49,27,9,1,0,2023,1
480,7,856,1,16,54,30,3,3,0,2024,1
481,10,641,0,2,41,2,7,3,0,2023,1
482,5,118,0,20,51,28,5,3,2,2024,0
483,10,603,0,28,49,4,0,3,2,2023,1
484,10,277,0,27,45,5,8,4,1,2024,0
485,6,924,1,16,26,22,9,4,0,2024,0
486,9,854,0,21,58,17,4,3,0,2023,1
487,4,711,0,24,58,7,7,4,1,2024,1
488,12,560,2,12,29,18,2,1,2,2024,1
489,6,771,0,20,60,23,8,3,2,2024,0
490,10,223,1,26,51,19,1,3,2,2023,1
491,5,422,1,9,30,4,7,4,1,2024,1
492,7,921,2,9,60,17,2,4,2,2024,1
493,4,830,0,15,56,16,3,4,1,2024,1
494,9,827,1,19,26,7,6,4,1,2024,1
495,2,677,0,2,35,6,1,3,2,2024,1
496,11,136,0,28,35,4,4,4,1,2024,1
497,3,518,0,8,22,29,7,2,2,2024,1
498,7,394,1,16,48,20,6,4,2,2024,1
499,6,989,1,28,37,5,6,4,0,2024,1
500,3,498,0,17,33,16,0,3,2,2024,0
501,11,587,0,11,30,8,5,3,0,2024,1
502,2,418,0,12,39,8,4,4,1,2024,1
503,4,675,0,4,47,22,5,4,2,2024,1
504,7,583,2,19,37,2,10,4,0,2024,1
505,6,795,0,26,63,25,6,4,1,2024,0
506,12,726,0,27,44,13,3,3,2,2024,1
507,1,763,1,21,49,10,2,4,1,2024,1
508,7,251,0,6,52,4,4,3,1,2024,0
509,5,993,0,11,41,6,0,4,0,2024,0
510,4,415,1,4,40,2,5,4,0,2024,1
511,11,316,1,23,44,6,8,3,2,2024,1
512,10,194,0,27,30,6,4,4,1,2024,0
513,7,172,0,24,59,30,1,4,1,2024,1
514,10,116,1,28,43,14,4,3,2,2024,1
515,9,686,0,26,49,12,8,4,1,2024,0
516,3,356,0,25,24,22,9,3,1,2024,1
517,10,398,1,27,33,30,7,2,2,2023,1
518,6,867,0,30,39,4,9,4,2,2024,0
519,5,286,0,6,60,19,7,4,2,2024,1
520,11,150,1,5,38,3,5,4,2,2024,1
521,2,383,0,28,58,20,2,3,0,2024,1
522,3,916,1,17,65,1,8,4,0,2024,1
523,3,807,0,9,53,28,1,4,1,2024,1
524,4,982,1,3,18,26,2,4,0,2024,1
525,11,783,3,2,35,7,10,4,2,2024,1
526,5,639,1,12,20,9,3,4,1,2024,1
527,8,216,0,14,41,2,0,3,2,2023,1
528,11,377,1,6,63,30,9,3,0,2024,1
529,4,591,1,25,58,7,3,4,0,2024,0
530,2,159,0,18,40,27,6,4,2,2024,1
531,1,663,0,27,57,30,8,4,0,2024,1
532,12,988,0,2,55,15,8,4,2,2024,0
533,10,618,2,1,22,6,6,4,2,2023,1
534,3,958,0,24,25,17,2,3,1,2024,1
535,10,647,0,30,50,7,0,4,1,2023,0
536,12,214,2,10,52,15,0,4,2,2024,1
537,3,281,0,17,20,4,3,4,1,2024,0
538,1,213,0,3,30,5,3,3,2,2024,1
539,7,894,0,23,34,23,3,4,0,2024,1
540,10,348,2,7,24,23,5,4,0,2024,1
541,9,391,0,8,50,9,2,3,2,2024,0
542,9,776,2,15,52,7,10,4,2,2024,1
543,3,656,0,22,31,14,0,4,0,2024,1
544,3,306,0,8,65,16,0,4,0,2024,0
545,4,640,1,18,53,5,3,4,1,2024,1
546,8,919,3,30,51,15,4,4,2,2024,1
547,5,687,0,13,20,1,3,3,2,2024,0
548,3,483,0,30,37,28,0,4,0,2024,1
549,6,969,1,18,30,9,7,4,0,2024,1
550,4,105,1,14,65,24,10,4,0,2024,1
551,7,575,1,26,27,16,6,4,2,2024,0
552,12,140,0,2,61,4,3,3,1,2024,1
553,11,403,1,6,39,3,1,4,2,2024,1
